Municipio,Categoria,Nome,Endereco,Latitude,Longitude
João Pessoa,Educação,ECIT Pedro Anísio Bezerra Dantas,"Rua Gil Furtado, S/N - Bairro dos Ipês, João Pessoa - PB, 58030-206",-7.1058191071429615,-34.858377532785184
João Pessoa,Educação,ECIT Prefeito Oswaldo Pessoa,"R. Prof. José Holmes, 96 - Ernani Sátiro, João Pessoa - PB, 58080-400",-7.174309847963118,-34.89445383278455
João Pessoa,Educação,ECIT Professor Raul Cordula,"Av. Carneiro da Cunha, 3000 - Torre, João Pessoa - PB, 58040-240",-7.128405517403799,-34.85723770394928
João Pessoa,Educação,ECIT Raul Machado,"AVENIDA, R. Carneiro Campos, S/N - Ilha do Bpo., João Pessoa - PB, 58011-440",-7.125880408984634,-34.89863063278486
João Pessoa,Educação,ECIT Mestre Sivuca,"R. Flor de Iris, 399-333 - Mangabeira, João Pessoa - PB, 58033-455",-7.177200840510475,-34.82200608120746
João Pessoa,Educação,EEEF ADELAIDE NOVAIS,"R. Pres. Félix Antônio, 1456-1498 - Cruz das Armas, João Pessoa - PB, 58085-460",-7.153717756866461,-34.8889329904561
João Pessoa,Educação,EEEF ALMIRANTE TAMANDARE,"Av. Cmte. Matos Cardoso, SN - Castelo Branco, João Pessoa - PB, 58050-120",-7.13059688455768,-34.84293170394911
João Pessoa,Educação,EEEF ANA HIGINA,"R. Dezenove de Março, S/N - Baixo Roger, João Pessoa - PB, 58020-340",-7.110504800217532,-34.87784620394953
João Pessoa,Educação,EEEF ANTONIO PESSOA,"Av. Beaurepaire Rohan, 149 - Centro, João Pessoa - PB, 58010-000",-7.11994026233558,-34.88711370394952
João Pessoa,Educação,EEEF AZORCERIZ PIRES FERREIRA,"R. Isabel Medeiros Correia - Alto do Céu, João Pessoa - PB, 58027-653",-7.092825005952832,-34.864418332785405
João Pessoa,Educação,EEEF CASTRO PINTO,"Av. Cruz das Armas, 1096 - Cruz das Armas, João Pessoa - PB, 58085-000",-7.1417933296228195,-34.89017411559265
João Pessoa,Educação,Escola Estadual de Ensino Fundamental Profa. Claudina Mangueira de Moura,"R. Carteiro Francisco Inácio do Rêgo Filho - Conj. Ivan Bichara, João Pessoa - PB, 58090-570",-7.136835711404964,-34.91399307086903
João Pessoa,Educação,EEEF DOMENICA ANDREA MAGLIANO,"SITIO MUMBABA S/N - Distrito Industrial, PB, 58082-800",-7.184258935960353,-34.90699447696289
João Pessoa,Educação,EEEFM. DR. OTAVIO NOVAIS,"AVENIDA SANTOS STANISLAU, R. Zulmira Novais, 1255, João Pessoa - PB, 58088-540",-7.157911157155784,-34.906066832784624
João Pessoa,Educação,Escola Estadual de Ensino Fundamental Epitácio Pessoa,"Av. Monsenhor Walfredo Leal, s/n - Tambiá, João Pessoa - PB, 58020-540",-7.115409108022696,-34.87746143278515
João Pessoa,Educação,EEEF FRANCISCO CAMPOS,"R. Bourgueville, S/N - Anatólia, João Pessoa - PB, 58052-080",-7.150570911258422,-34.84492660394926
João Pessoa,Educação,EEEF FREI MARTINHO,"Av. Des. Novais, S/N - Cruz das Armas, João Pessoa - PB, 58085-450",-7.142829019402635,-34.88986357511357
João Pessoa,Educação,EEEF GUSTAVO CAPANEMA,"R. Adão Viana da Rosa, S/N - Grotão, João Pessoa - PB, 58079-846",-7.190361414939516,-34.88417966162007
João Pessoa,Educação,ESCOLA ESTADUAL HENRIQUE DIAS,"RUA CARLOS BORROMEU RIBEIRO SEM NUMERO - Alto do Mateus, João Pessoa - PB, 58090-280",-7.142717410534326,-34.91335286162041
João Pessoa,Educação,EEEF IRMA SEVERINA CAVALCANTE SOUTO,"R. Rodrigues Chaves, S/N - Centro, João Pessoa - PB, 58011-040",-7.124992008902966,-34.885436876963325
João Pessoa,Educação,EEEF ISABEL MARIA DAS NEVES,"Av. João Machado, 484 - Centro, João Pessoa - PB, 58013-520",-7.126233309017074,-34.88027753278509
João Pessoa,Educação,EEEF JOAQUIM NABUCO,"R. Frei Vicente Salvador, S/N - Costa e Silva, João Pessoa - PB, 58081-130",-7.174084913431263,-34.8956303039489
João Pessoa,Educação,EEEF JOSE VIEIRA,"R. Abdias Gomes de Almeida, S/N - Tambauzinho, João Pessoa - PB, 58042-100",-7.121958663857672,-34.84459127881313
João Pessoa,Educação,EEEF PADRE AZEVEDO,"Av. Vasco da Gama, 909 - Jaguaribe, João Pessoa - PB, 58015-180",-7.136082564195063,-34.87870434627783
João Pessoa,Educação,EEEF PADRE CICERO ROMAO BATISTA,"R. Jose Betanio, S/N - Mandacaru, João Pessoa - PB, 58027-587",-7.093785399459751,-34.861099003949676
João Pessoa,Educação,EEEF PADRE JOÃO FELIX,"R. Porto do Capim - Varadouro, João Pessoa - PB, 58010-570",-7.1108408612892235,-34.88956073278518
João Pessoa,Educação,EEEF PLACIDO DE CASTRO,"R. Plácido de Castro, 687 - Oitizeiro, João Pessoa - PB, 58088-590",-7.15457125692533,-34.900513803949096
João Pessoa,Educação,EEEF PROFª MARIA DE FATIMA SOUTO,"R. José Gomes de Souza, S/N - Mangabeira I, João Pessoa - PB, 58055-420",-7.164224512519247,-34.84085070394891
João Pessoa,Educação,EEEFM PROFª MARIA GENY DE SOUSA TIMOTEO,"Av. Monsenhor Walfredo Leal, 551 - Tambiá, João Pessoa - PB, 58020-540",-7.1170362620015,-34.87308463278503
João Pessoa,Educação,EEEF PROF MATEUS RIBEIRO,"R. Bom Jesus, 526 - Varjão, João Pessoa - PB, 58070-060",-7.1481954110393024,-34.87075934627771
João Pessoa,Educação,EEEF PROFª ARGENTINA PEREIRA GOMES,"Av. Camilo De Holanda, SN - Centro, João Pessoa - PB, 58013-360",-7.121920208620621,-34.87610786162072
João Pessoa,Educação,EEEF PROFESSOR JOAO JOSE DA COSTA,"Av. Barão de Mamanguape, 199 - Torre, João Pessoa - PB, 58040-330",-7.121536508585383,-34.86227900394943
João Pessoa,Educação,EEEF Professora Antônia Rangel de Farias,"Av. Júlia Freire, S/N - Torre, João Pessoa - PB, 58040-040",-7.121269516416392,-34.86004233278506
João Pessoa,Educação,EEEF PROFESSORA DAGMAR MENDONCA LIMEIRA,"AV, R. Domingos José da Paixão, 1465 - Muçumagro, João Pessoa - PB, 58066-100",-7.215885473450167,-34.838527346277175
João Pessoa,Educação,EEEF SÃO RAFAEL,"VILA - Av. São Rafael, 701 - Castelo Branco, João Pessoa - PB, 58050-630",-7.128796554561743,-34.842080025854415
João Pessoa,Educação,EEEFM Audiocomunicação,"Av. Fagundes Varela - Cidade Padre Ze, João Pessoa - PB, 58026-045",-7.106569998488055,-34.8680105717159
